latitude,longitude,element,id,building,name,addr:street,name:en,tourism,addr:housenumber,addr:postcode,addr:block_number,addr:place,residential,building:levels,building:roof,building:structure,building:use,building:walls,addr:city,phone,amenity,addr:housename,addr:district,addr:province,addr:subdistrict,addr:neighbourhood,height,addr:full,description,religion,addr:unit,addr:suburb,house,landuse,shop,layer,noaddress,addr:block,smoking,cuisine,healthcare,delivery,mobile,not:name,opening_hours,takeaway,website,air_conditioning,branch,brand,brand:wikidata,brand:wikipedia,name:id,name:ja,operator,payment:cash,payment:credit_cards,payment:debit_cards,toilets,toilets:access,building:flats,alt_name,level,payment:contactless,payment:electronic_purses,payment:qr_code,wheelchair,official_name,natural,social_facility,social_facility:for,note,category,nearest_node,network_distance_m
-6.889621050000001,107.56388032835957,way,380759189,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,5493081055,8700.026033607834
-6.88949455,107.56368220136986,way,380759190,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,5493081055,8700.026033607834
-6.8897870999999995,107.56381651517998,way,380759191,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,5493081055,8700.026033607834
-6.889783100000001,107.56365559381996,way,380759193,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,10177104905,8723.040971201763
-6.8899639,107.56353254366103,way,380759194,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,1666228841,8798.3711917527
-6.8899293,107.56373567615847,way,380759195,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,10177104905,8723.040971201763
-6.88961,107.56310880716374,way,380762963,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,5495428677,8838.040816842162
-6.8895484499999995,107.56299288692777,way,380762964,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,5495428677,8838.040816842162
-6.88945805,107.56284843571055,way,380762965,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,5495428677,8838.040816842162
-6.88911985,107.56242824913906,way,380762966,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,5495425800,9051.120976860839
-6.8890799000000005,107.562310502,way,380762967,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,2012626627,8973.331920977542
-6.8888802,107.56237246209326,way,380762968,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,5495425801,9012.963268073801
-6.8889814000000005,107.56256765407724,way,380762969,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,5495425800,9051.120976860839
-6.8887578000000005,107.56257515663594,way,380762970,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,5495425800,9051.120976860839
-6.88929275,107.56374739533743,way,380762974,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,3840710412,8657.896098872914
-6.8899839499999995,107.56307728294023,way,380762975,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,9708667339,8847.10313525547
-6.890157950000001,107.56336561123365,way,380762978,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,1666228841,8798.3711917527
-6.8904482,107.56345138247565,way,380762979,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,5493008443,8812.850118633554
-6.889976900000001,107.5625550339866,way,380762980,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,9708667339,8847.10313525547
-6.8536278,107.61907954823877,way,381589011,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,13794524623,7962.582228116808
-6.8532135,107.61889705738344,way,381589012,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,7220798895,7947.719918384159
-6.852914350000001,107.61877544388005,way,381589013,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,7220798895,7947.719918384159
-6.85339875,107.61868819372239,way,381589014,apartments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=apartments,7220798901,7929.548173726461
-6.8526875,107.61833306923722,way,381589017,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,3847800370,7970.607381147211
-6.8536527,107.61945655,way,381589019,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,13794524678,8028.752679357076
-6.9075222499999995,107.66044557521874,way,381592180,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,2477140705,5456.683744925773
-6.907522849999999,107.66051197521875,way,381592181,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,2477140705,5456.683744925773
-6.907525550000001,107.66057902478124,way,381592183,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,2477140705,5456.683744925773
-6.90753245,107.66077987521876,way,381592184,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,2477140704,5547.586787582006
-6.9075298,107.6607128254065,way,381592185,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,2477140705,5456.683744925773
-6.90752925,107.66064639937515,way,381592187,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,2477140705,5456.683744925773
-6.907540450000001,107.66096762600594,way,381592188,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,2477140704,5547.586787582006
-6.9075377499999995,107.66090057521876,way,381592191,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,2477140704,5547.586787582006
-6.90753625,107.66084258294768,way,381592193,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,2477140704,5547.586787582006
-6.907545750000001,107.66116342600594,way,381592194,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,2477140704,5547.586787582006
-6.90754315,107.66109637399406,way,381592195,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,2477140704,5547.586787582006
-6.9075415499999995,107.66103332510582,way,381592197,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,2477140704,5547.586787582006
-6.90755375,107.66135922600594,way,381592198,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,2477140704,5547.586787582006
-6.9075511,107.6612922,way,381592199,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,2477140704,5547.586787582006
-6.907549899999999,107.66123189207318,way,381592200,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,2477140704,5547.586787582006
-6.907564450000001,107.66154967399406,way,381592201,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,2477140704,5547.586787582006
-6.907561749999999,107.66148262600595,way,381592202,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,2477140704,5547.586787582006
-6.9075585,107.66142460347561,way,381592203,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,2477140704,5547.586787582006
-6.90757005,107.66168412478123,way,381592204,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,2477140704,5547.586787582006
-6.9075681499999995,107.66161672600595,way,381592205,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,2477140704,5547.586787582006
